,City,Country,Latitude,Longitude,Date,Temp,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed
47,Belmonte,BR,-15.86,-38.88,1586970828,82.4,82.4,82.4,74,40,10.29
48,Ilhéus,BR,-14.79,-39.05,1586970829,86.0,86.0,86.0,74,20,6.93
49,Dwārka,IN,22.24,68.97,1586970829,80.65,80.65,80.65,76,12,14.67
50,Hilo,US,19.73,-155.09,1586970344,69.01,71.6,66.0,83,90,8.05
51,Port Alfred,ZA,-33.59,26.89,1586970352,61.0,61.0,61.0,93,52,7.07
52,Nikolskoye,RU,59.7,30.79,1586970347,37.35,39.2,35.01,64,40,8.95
53,Naze,JP,28.37,129.48,1586970474,64.4,64.4,64.4,59,86,10.29
54,Oeiras,BR,-7.03,-42.13,1586970830,78.1,78.1,78.1,79,100,5.12
55,Yar-Sale,RU,66.83,70.83,1586970347,15.44,15.44,15.44,93,29,9.91
56,Bambous Virieux,MU,-20.34,57.76,1586970373,77.94,78.8,77.0,78,40,16.11
57,Lüderitz,NA,-26.65,15.16,1586970375,64.4,64.4,64.4,72,0,19.46
58,Chokurdakh,RU,70.63,147.92,1586970451,-9.2,-9.2,-9.2,89,98,8.5
59,Ségou,ML,13.43,-6.22,1586970831,92.39,92.39,92.39,28,16,18.25
60,Tomatlán,MX,19.93,-105.25,1586970831,87.42,87.42,87.42,26,18,7.34
61,Pilar,BR,-9.6,-35.96,1586970831,89.6,89.6,89.6,59,20,11.41
62,Avarua,CK,-21.21,-159.78,1586970361,69.8,69.8,69.8,94,83,2.24
63,Monduli,TZ,-3.3,36.45,1586970831,77.0,77.0,77.0,69,75,4.7
64,Pevek,RU,69.7,170.31,1586970352,6.35,6.35,6.35,95,100,2.21
65,Laguna,US,38.42,-121.42,1586970354,65.84,70.0,60.8,51,5,3.36
66,Ol'ga,RU,43.74,135.29,1586970832,34.41,34.41,34.41,86,0,3.06
67,Chililabombwe,ZM,-12.36,27.82,1586970833,66.02,66.02,66.02,62,74,3.29
68,Samarai,PG,-10.62,150.67,1586970833,80.15,80.15,80.15,85,75,8.03
69,New Norfolk,AU,-42.78,147.06,1586970337,56.28,61.0,52.0,82,90,5.82
70,Souillac,MU,-20.52,57.52,1586970351,77.95,78.8,77.0,78,40,16.11
71,Sovetskiy,RU,61.36,63.58,1586970833,34.9,34.9,34.9,84,29,5.23
72,Mayumba,GA,-3.43,10.66,1586970834,82.17,82.17,82.17,87,96,8.23
73,Lebu,CL,-37.62,-73.65,1586970358,63.45,63.45,63.45,54,99,9.4
74,Norman Wells,CA,65.28,-126.83,1586970394,30.2,30.2,30.2,68,75,9.17
75,Coquimbo,CL,-29.95,-71.34,1586970367,62.6,62.6,62.6,72,75,4.7
76,Guadalajara,MX,20.67,-103.33,1586970549,78.84,82.0,73.4,20,5,4.7
77,Paamiut,GL,61.99,-49.67,1586970837,31.8,31.8,31.8,98,100,10.45
78,Finschhafen,PG,-6.6,147.87,1586970837,81.09,81.09,81.09,75,66,5.61
79,Lompoc,US,34.64,-120.46,1586970083,67.1,73.0,60.8,59,1,4.25
80,Hermanus,ZA,-34.42,19.23,1586970350,61.9,63.0,61.0,82,94,2.33
81,College,US,64.86,-147.8,1586970303,33.69,39.2,28.4,86,75,2.82
82,Mapimí,MX,25.82,-103.85,1586970837,67.15,68.0,66.2,55,20,7.2
83,Hobyo,SO,5.35,48.53,1586970372,84.78,84.78,84.78,71,8,11.54
84,Ponta do Sol,PT,32.67,-17.1,1586970364,58.82,66.2,55.99,63,40,18.34
85,Faanui,PF,-16.48,-151.75,1586970343,82.71,82.71,82.71,67,29,9.6
86,Castro,BR,-24.79,-50.01,1586970316,66.43,66.43,66.43,26,0,4.61
87,Cocobeach,GA,1.0,9.58,1586970838,84.2,84.2,84.2,89,40,9.17
88,Port Augusta,AU,-32.5,137.77,1586970362,70.79,72.0,68.0,68,92,13.87
89,Starosubkhangulovo,RU,53.1,57.44,1586970838,40.77,40.77,40.77,65,58,6.78
90,Lubango,AO,-14.92,13.49,1586970838,78.8,78.8,78.8,49,75,6.93
91,Severo-Kuril'sk,RU,50.68,156.12,1586970370,29.73,29.73,29.73,93,100,9.26
92,Nikolayevskaya,RU,47.61,41.5,1586970838,39.47,39.47,39.47,78,69,6.11
93,Praia da Vitória,PT,38.73,-27.07,1586970354,57.2,57.2,57.2,82,75,23.38
94,Khatanga,RU,71.97,102.5,1586970348,-9.11,-9.11,-9.11,89,0,4.54
95,Deep River,CA,46.1,-77.5,1586970839,35.55,36.0,35.01,34,75,8.05
96,Talaya,RU,61.38,152.75,1586970352,1.53,1.53,1.53,83,15,3.02
97,Daru,PG,-9.08,143.21,1586970839,79.77,79.77,79.77,85,100,9.19
98,Pisco,PE,-13.7,-76.22,1586970144,75.76,81.0,71.6,30,90,5.82
99,Lagoa,PT,39.05,-27.98,1586970471,56.66,56.66,56.66,67,21,23.62
100,Christchurch,NZ,-43.53,172.63,1586970636,41.83,46.99,37.4,93,22,1.12
101,Barrow,US,71.29,-156.79,1586970373,15.8,15.8,15.8,85,90,23.04
102,Bobo-Dioulasso,BF,11.18,-4.3,1586970839,96.8,96.8,96.8,34,57,9.17
103,Palmer,US,42.16,-72.33,1586970393,48.15,52.0,43.0,26,20,9.17
104,Kolyvan',RU,55.31,82.74,1586970840,41.0,41.0,41.0,81,21,8.95
105,Lavrentiya,RU,65.58,-171.0,1586970438,22.19,22.19,22.19,95,98,3.47
106,Emba,KZ,48.83,58.14,1586970840,48.18,48.18,48.18,47,11,14.7
107,Faya,SA,18.39,42.45,1586970488,63.5,64.4,62.6,82,40,6.93
108,Klaksvík,FO,62.23,-6.59,1586970482,42.8,42.8,42.8,75,80,24.16
109,Dudinka,RU,69.41,86.18,1586970433,3.2,3.2,3.2,84,40,17.9
110,Goderich,CA,43.75,-81.72,1586970840,33.22,37.99,28.99,63,92,9.57
111,Bosaso,SO,11.28,49.18,1586970840,84.56,84.56,84.56,71,17,3.27
112,Arraial do Cabo,BR,-22.97,-42.03,1586970348,84.2,84.2,84.2,58,20,9.17
113,George Town,MY,5.41,100.34,1586970193,79.34,82.4,77.0,100,40,3.36
114,Tuktoyaktuk,CA,69.45,-133.04,1586970357,26.6,26.6,26.6,79,75,11.41
115,Codrington,AU,-38.27,141.97,1586970483,60.04,60.04,60.04,91,80,13.06
116,Puerto Ayora,EC,-0.74,-90.35,1586970096,79.7,84.2,77.0,74,40,12.75
117,Jining,CN,35.41,116.58,1586970841,60.13,60.13,60.13,68,90,13.58
118,Jamestown,US,42.1,-79.24,1586970054,37.11,39.2,33.8,55,90,14.99
119,Apátfalva,HU,46.17,20.58,1586970841,51.89,52.0,51.8,37,56,4.7
120,Butaritari,KI,3.07,172.79,1586970375,82.53,82.53,82.53,82,100,17.18
121,Iqaluit,CA,63.75,-68.51,1586970341,23.0,23.0,23.0,62,90,9.17
122,Sortland,NO,68.69,15.42,1586970841,34.14,37.99,28.0,64,40,24.16
123,Esperance,AU,-33.87,121.9,1586970348,57.2,57.2,57.2,93,75,3.36
124,Saint-Augustin,CA,51.23,-58.65,1586970842,35.56,35.56,35.56,78,54,19.15
125,Kenitra,MA,34.26,-6.58,1586970842,67.51,68.0,66.99,60,97,13.87
126,Bakel,SN,14.9,-12.46,1586970842,98.47,98.47,98.47,23,53,4.47
127,Saint Paul Harbor,US,57.79,-152.41,1586970338,41.0,41.0,41.0,86,90,3.36
128,Buala,SB,-8.14,159.59,1586970352,81.91,81.91,81.91,75,100,2.13
129,La Sarre,CA,48.8,-79.2,1586970550,26.22,26.22,26.22,86,84,7.58
130,Cidreira,BR,-30.18,-50.21,1586970456,69.69,69.69,69.69,48,9,22.73
131,Nishihara,JP,26.18,127.76,1586970457,66.78,68.0,66.0,68,40,5.82
132,San Patricio,MX,19.22,-104.7,1586970510,78.8,78.8,78.8,83,5,6.93
133,Krasnosel'kup,RU,65.7,82.47,1586970475,18.79,18.79,18.79,95,0,10.51
134,Hambantota,LK,6.12,81.12,1586970485,82.56,82.56,82.56,76,64,5.88
135,Kārsiyāng,IN,26.88,88.28,1586970843,62.33,62.33,62.33,45,70,5.41
136,Diu,IN,20.71,70.98,1586970843,85.41,85.41,85.41,42,34,14.94
137,Porbandar,IN,21.64,69.61,1586970843,82.02,82.02,82.02,59,4,11.81
138,Örnsköldsvik,SE,63.29,18.72,1586970844,43.59,44.6,42.8,45,99,5.82
139,Oga,IT,46.46,10.35,1586970844,49.06,50.0,48.2,49,0,18.34
140,Natal,BR,-5.79,-35.21,1586970844,78.8,78.8,78.8,83,75,13.87
141,Shingū,JP,33.73,135.98,1586970446,53.47,53.47,53.47,50,87,7.0
142,El Batey,DO,19.77,-70.52,1586970845,85.91,90.0,84.2,66,20,11.41
143,Hobart,AU,-42.88,147.33,1586970341,56.89,61.0,52.0,82,90,5.82
144,Bathsheba,BB,13.22,-59.52,1586970420,84.2,84.2,84.2,62,40,18.34
145,Pitimbu,BR,-7.47,-34.81,1586970845,84.2,84.2,84.2,74,75,2.24
146,Tasiilaq,GL,65.61,-37.64,1586970360,30.2,30.2,30.2,74,75,4.7
147,Okitipupa,NG,6.5,4.78,1586970846,82.36,82.36,82.36,79,71,4.7
148,Zaterechnyy,RU,44.79,45.21,1586970846,58.39,58.39,58.39,55,85,15.86
149,Samarinda,ID,-0.5,117.15,1586970846,75.96,75.96,75.96,93,59,2.42
150,Nemuro,JP,43.32,145.57,1586970847,32.07,32.07,32.07,92,86,15.95
151,Qaanaaq,GL,77.48,-69.36,1586970337,12.2,12.2,12.2,90,86,2.57
152,Atasū,KZ,48.68,71.64,1586970847,41.92,41.92,41.92,54,0,7.56
153,Guinticgan,PH,11.56,123.12,1586970847,80.82,80.82,80.82,79,20,5.82
154,Hong Kong,HK,22.29,114.16,1586970126,68.68,72.0,63.0,60,94,4.7
155,Darhan,MN,49.49,105.92,1586970848,39.02,39.02,39.02,64,98,1.97
156,Bantul,ID,-7.89,110.33,1586970848,77.68,77.68,77.68,81,8,3.13
157,Sambava,MG,-14.27,50.17,1586970389,75.7,75.7,75.7,87,12,7.47
158,Mergen,CN,49.18,125.22,1586970848,41.45,41.45,41.45,55,0,2.77
159,Lázaro Cárdenas,MX,17.96,-102.2,1586970848,84.47,84.47,84.47,44,33,7.74
160,Tommot,RU,58.96,126.29,1586970849,34.23,34.23,34.23,84,87,2.42
161,Puerto Peñasco,MX,31.32,-113.53,1586970849,73.71,73.99,73.4,8,5,11.41
162,Sabancuy,MX,18.97,-91.18,1586970849,92.14,92.14,92.14,51,74,7.58
163,Bethel,US,41.37,-73.41,1586970439,48.52,52.0,44.01,39,20,5.82
164,Varna,BG,43.22,27.92,1586970642,45.52,46.4,44.01,52,12,6.93
165,Ulaangom,MN,49.98,92.07,1586970474,30.52,30.52,30.52,68,93,1.1
166,Saldanha,ZA,-33.01,17.94,1586970434,66.2,66.2,66.2,63,100,8.05
167,Pangody,RU,65.85,74.49,1586970850,16.09,16.09,16.09,91,11,10.65
168,Nouadhibou,MR,20.93,-17.03,1586970851,73.4,73.4,73.4,56,2,18.34
169,Mount Gambier,AU,-37.83,140.77,1586970355,57.2,57.2,57.2,100,75,6.93
170,Mahibadhoo,MV,3.78,72.97,1586970851,85.23,85.23,85.23,70,79,5.12
171,Provideniya,RU,64.38,-173.3,1586970345,23.94,23.94,23.94,94,71,5.12
172,Jurm,AF,36.86,70.83,1586970851,45.99,45.99,45.99,32,46,1.68
173,Iquitos,PE,-3.75,-73.25,1586970702,86.0,86.0,86.0,74,75,5.82
174,Prince Rupert,CA,54.32,-130.32,1586970852,42.8,42.8,42.8,100,90,5.82
175,Tsimmerbude,RU,54.67,20.13,1586970852,46.4,46.4,46.4,81,75,20.13
176,Irituia,BR,-1.77,-47.44,1586970852,84.02,84.02,84.02,69,96,1.74
177,Dingle,PH,11.0,122.67,1586970496,78.06,78.06,78.06,71,22,6.02
178,Pahrump,US,36.21,-115.98,1586970853,61.65,64.99,53.6,30,1,4.65
179,Wonthaggi,AU,-38.6,145.59,1586970853,61.34,64.0,59.0,77,100,1.99
180,Vardø,NO,70.37,31.11,1586970184,35.62,37.4,33.8,64,14,10.29
181,Marsaxlokk,MT,35.84,14.54,1586970854,60.03,60.8,59.0,77,40,13.87
182,Belaya Kholunitsa,RU,58.84,50.85,1586970855,45.82,45.82,45.82,75,95,12.01
183,Dongying,CN,37.46,118.49,1586970855,63.54,63.54,63.54,38,90,15.23
184,Aswān,EG,24.09,32.91,1586970481,86.0,86.0,86.0,15,0,5.82
185,Tuatapere,NZ,-46.13,167.68,1586970343,50.0,50.0,50.0,85,61,13.0
186,Shache,CN,38.42,77.24,1586970855,65.41,65.41,65.41,20,63,20.02
187,Monteagudo,BO,-19.82,-63.98,1586970855,72.84,72.84,72.84,30,65,3.38
188,Chum Phae,TH,16.54,102.1,1586970856,85.84,85.84,85.84,38,93,2.75
189,Ribeira Grande,PT,38.52,-28.7,1586970338,60.8,60.8,60.8,55,40,24.16
190,Ishigaki,JP,24.34,124.16,1586970413,70.68,70.68,70.68,57,26,4.9
191,Tautira,PF,-17.73,-149.15,1586970079,78.39,78.8,78.01,78,40,4.7
192,Porto-Novo,BJ,6.5,2.6,1586970664,86.0,86.0,86.0,74,20,13.87
193,Lincoln,US,40.8,-96.67,1586970632,45.14,46.99,42.8,31,40,12.75
194,Qandala,SO,11.47,49.87,1586970857,86.63,86.63,86.63,64,19,14.34
195,Dabat,ET,12.98,37.77,1586970857,65.7,65.7,65.7,17,38,4.09
196,Salinópolis,BR,-0.61,-47.36,1586970857,81.03,81.03,81.03,73,99,3.78
197,Kalikino,RU,52.95,39.83,1586970857,35.6,35.6,35.6,74,66,8.95
198,Saint-Joseph,RE,-21.37,55.62,1586970450,70.74,77.0,60.01,73,3,20.8
199,Mathathane,BW,-22.27,28.75,1586970858,80.11,80.11,80.11,30,67,5.82
200,Tuntum,BR,-5.26,-44.65,1586970858,81.55,81.55,81.55,77,100,3.83
201,Oktyabr'skiy,RU,54.48,53.47,1586970858,50.94,50.94,50.94,62,98,13.94
202,Glenwood Springs,US,39.55,-107.32,1586970591,36.79,41.0,32.0,25,40,17.22
203,Leh,IN,34.17,77.58,1586970859,38.05,38.05,38.05,17,63,6.69
204,Soe,ID,-9.86,124.28,1586970859,66.43,66.43,66.43,82,99,2.64
205,Kaitangata,NZ,-46.28,169.85,1586970348,50.85,51.01,50.0,64,36,17.0
206,Mana,GF,5.66,-53.78,1586970859,84.9,84.9,84.9,56,50,7.72
207,Vila Velha,BR,-20.33,-40.29,1586970234,84.72,84.99,84.2,66,29,10.29
208,Leningradskiy,RU,69.38,178.42,1586970365,14.0,14.0,14.0,95,100,4.38
209,Talara,PE,-4.58,-81.27,1586970860,62.6,62.6,62.6,100,72,9.17
210,Chernyshevskiy,RU,63.01,112.47,1586970860,20.86,20.86,20.86,91,96,8.08
211,Koltubanovskiy,RU,52.94,52.03,1586970860,55.27,55.27,55.27,57,100,16.28
212,Buraidah,SA,26.33,43.98,1586970762,68.0,68.0,68.0,56,0,18.34
213,Kavieng,PG,-2.57,150.8,1586970344,82.42,82.42,82.42,71,100,2.59
214,Ilo,PE,-17.64,-71.34,1586970860,73.71,73.71,73.71,66,25,7.67
215,Hithadhoo,MV,-0.6,73.08,1586970216,84.99,84.99,84.99,72,80,9.46
216,Cabo San Lucas,MX,22.89,-109.91,1586970364,72.45,78.01,64.0,46,5,4.7
217,Fuengirola,ES,36.54,-4.62,1586970861,62.83,64.4,60.01,88,75,9.17
218,Wencheng,CN,33.06,113.8,1586970861,62.08,62.08,62.08,73,53,7.7
219,Stornoway,GB,58.21,-6.39,1586970862,51.48,51.8,51.01,81,96,18.34
220,Chamba,IN,32.57,76.13,1586970862,63.37,63.37,63.37,26,20,10.09
221,Saint-Philippe,RE,-21.36,55.77,1586970345,70.36,77.0,60.01,73,6,20.8
222,Viranşehir,TR,37.24,39.76,1586970863,57.65,57.65,57.65,43,98,4.59
223,Shetpe,KZ,44.17,52.12,1586970863,54.63,54.63,54.63,36,32,15.35
224,Sur,OM,22.57,59.53,1586970509,88.18,88.18,88.18,37,100,7.18
225,Umm Kaddadah,SD,13.6,26.69,1586970864,77.95,77.95,77.95,11,0,12.15
226,Carupano,VE,10.67,-63.26,1586970864,85.08,85.08,85.08,61,21,9.78
227,Hildburghausen,DE,50.43,10.73,1586970864,59.0,61.0,55.99,44,15,5.82
228,Alofi,NU,-19.06,-169.92,1586970415,73.4,73.4,73.4,94,100,1.12
229,Poção de Pedras,BR,-4.67,-44.85,1586970865,84.11,84.11,84.11,73,96,1.36
230,Nago,JP,26.59,127.98,1586970865,65.93,68.0,60.8,68,90,3.36
231,Voi,KE,-3.39,38.56,1586970865,75.56,75.56,75.56,70,100,8.12
232,Ancud,CL,-41.87,-73.82,1586970459,51.8,51.8,51.8,100,90,18.34
233,Loa Janan,ID,-0.58,117.09,1586970866,75.88,75.88,75.88,93,54,2.15
234,Saint Anthony,US,45.02,-93.22,1586970866,28.54,30.99,26.01,42,75,5.82
235,Amahai,ID,-3.33,128.92,1586970372,78.73,78.73,78.73,81,83,5.32
236,Raja,SS,8.46,25.68,1586970399,83.79,83.79,83.79,11,33,4.21
237,Panzhihua,CN,26.59,101.71,1586970868,66.34,66.34,66.34,23,16,0.56
238,Poronaysk,RU,49.22,143.12,1586970869,26.76,26.76,26.76,94,32,4.09
239,Eppingen,DE,49.14,8.91,1586970872,63.59,66.99,55.99,22,0,3.36
240,Longyan,CN,25.11,117.02,1586970872,57.94,57.94,57.94,67,83,1.45
241,Vostok,RU,46.49,135.88,1586970873,26.67,26.67,26.67,78,0,1.72
242,Xiuyan,CN,40.29,123.27,1586970873,44.87,44.87,44.87,74,65,5.86
243,Eureka,US,40.8,-124.16,1586970784,51.8,54.0,51.01,81,40,10.04
244,Yemel'yanovo,RU,56.17,92.68,1586970874,42.8,42.8,42.8,70,62,2.24
245,Cherskiy,RU,68.75,161.3,1586970415,-1.5,-1.5,-1.5,91,83,3.13
246,Port Lincoln,AU,-34.73,135.87,1586970458,62.82,62.82,62.82,81,45,14.14
247,Alghero,IT,40.56,8.32,1586970874,71.6,71.6,71.6,21,1,13.87
248,Caravelas,BR,-17.71,-39.25,1586970874,82.31,82.31,82.31,73,77,7.38
249,Crib Point,AU,-38.35,145.2,1586970874,62.67,66.99,59.0,87,100,3.98
250,Carnarvon,AU,-24.87,113.63,1586970346,75.2,75.2,75.2,60,75,17.22
251,Mar del Plata,AR,-38.0,-57.56,1586970223,62.78,63.0,62.6,55,40,16.11
252,Moyale,KE,3.52,39.06,1586970875,71.17,71.17,71.17,62,100,3.15
253,Mossamedes,AO,-15.2,12.15,1586970875,75.76,75.76,75.76,72,94,9.01
254,Mortka,RU,59.33,66.02,1586970875,34.77,34.77,34.77,85,3,4.21
255,Barentu,ER,15.11,37.59,1586970875,75.7,75.7,75.7,20,68,11.59
256,Aguacatán,GT,15.34,-91.31,1586970875,71.01,71.01,71.01,56,48,1.99
257,Messina,IT,38.19,15.55,1586970839,60.57,64.4,57.99,68,75,5.82
258,Garden City,US,42.33,-83.33,1586970603,31.82,34.0,28.99,74,90,4.16
259,Brest,BY,52.1,23.7,1586970825,44.2,44.2,44.2,69,100,15.32
260,Ngaoundéré,CM,7.32,13.58,1586970876,80.38,80.38,80.38,37,82,2.77
261,Yenagoa,NG,4.92,6.26,1586970876,81.77,81.77,81.77,84,77,4.92
262,Salalah,OM,17.02,54.09,1586970876,84.2,84.2,84.2,70,40,6.93
263,Saint-Pierre,RE,-21.34,55.48,1586970440,71.65,77.0,60.01,73,0,20.8
264,Uarini,BR,-2.99,-65.11,1586970666,86.0,86.0,86.0,79,75,8.05
265,Nosy Varika,MG,-20.58,48.53,1586970876,75.87,75.87,75.87,83,37,2.84
266,Ust-Nera,RU,64.57,143.2,1586970876,15.35,15.35,15.35,87,98,2.55
267,Grindavik,IS,63.84,-22.43,1586970628,39.2,39.2,39.2,64,40,24.16
268,Vilhena,BR,-12.74,-60.15,1586970877,78.8,78.8,78.8,78,75,6.93
269,Winnemucca,US,40.97,-117.74,1586970877,53.28,53.6,52.0,34,1,11.41
270,Haapiti,PF,-17.57,-149.87,1586970877,79.43,80.01,78.8,78,40,4.7
271,Narsaq,GL,60.92,-46.05,1586970361,33.8,33.8,33.8,80,75,5.39
272,Monroe,US,43.15,-77.68,1586970877,39.69,42.01,37.0,48,75,20.8
273,Sidrolândia,BR,-20.93,-54.96,1586970878,69.8,69.8,69.8,37,0,10.29
274,Kahului,US,20.89,-156.47,1586970353,70.32,75.2,66.2,88,40,8.05
275,Polis,CY,35.04,32.43,1586970878,60.76,64.4,57.99,68,57,1.12
276,Port Blair,IN,11.67,92.75,1586970432,83.3,83.3,83.3,76,59,4.43
277,Kedrovyy,RU,56.17,91.82,1586970475,42.8,42.8,42.8,70,66,2.24
278,San Jose,US,37.34,-121.89,1586970714,64.89,71.01,57.99,44,1,3.36
279,Tateyama,JP,34.98,139.87,1586970878,57.09,57.2,57.0,54,100,6.93
280,Torbay,CA,47.67,-52.73,1586970394,47.14,51.01,42.01,39,75,12.75
281,Sobolevo,RU,54.43,31.9,1586970879,36.75,36.75,36.75,88,100,14.2
282,Constitución,CL,-35.33,-72.42,1586970228,62.4,62.4,62.4,52,100,5.79
283,Geraldton,AU,-28.77,114.6,1586970364,60.17,60.8,59.0,82,0,8.05
284,Marabu,MY,4.41,114.01,1586970492,77.0,77.0,77.0,94,75,5.03
285,Northam,GB,51.03,-4.22,1586970342,56.95,57.99,55.99,55,0,8.99
286,Richards Bay,ZA,-28.78,32.04,1586970372,70.93,70.93,70.93,74,65,5.01
287,Bhālki,IN,18.03,77.22,1586970879,86.09,86.09,86.09,17,44,5.88
288,Ilulissat,GL,69.22,-51.1,1586970341,26.6,26.6,26.6,42,75,8.05
289,Alfena,PT,41.24,-8.52,1586970879,58.59,64.0,53.01,77,40,14.99
290,Alta Floresta,BR,-9.88,-56.09,1586970692,95.0,95.0,95.0,56,75,2.24
291,Tura,IN,25.52,90.22,1586970880,68.77,68.77,68.77,72,91,4.76
292,Malé,MV,4.17,73.51,1586970675,84.2,84.2,84.2,83,75,8.08
293,Kigali,RW,-1.95,30.06,1586970880,73.4,73.4,73.4,73,40,3.36
294,Nampula,MZ,-15.12,39.27,1586970880,70.97,70.97,70.97,87,15,3.24
295,Nome,US,64.5,-165.41,1586970352,32.0,32.0,32.0,97,90,10.29
296,Stokmarknes,NO,68.56,14.91,1586970358,33.22,37.0,28.0,81,100,13.0
297,Waipawa,NZ,-41.41,175.52,1586970414,43.79,48.2,37.99,81,44,6.93
298,Vuktyl,RU,63.86,57.31,1586970881,32.76,32.76,32.76,91,99,9.8
299,Port Hedland,AU,-20.32,118.57,1586970371,80.6,80.6,80.6,88,72,5.82
300,Shahr-e Bābak,IR,30.12,55.12,1586970881,56.37,56.37,56.37,32,96,12.95
301,Dikson,RU,73.51,80.55,1586970339,5.47,5.47,5.47,81,26,6.26
302,Kamenka,RU,51.32,42.77,1586970377,37.99,39.0,37.0,81,48,3.0
303,Leshukonskoye,RU,64.9,45.76,1586970434,36.77,36.77,36.77,86,95,12.12
304,Yangi Marg`ilon,UZ,40.43,71.72,1586970397,50.0,50.0,50.0,81,90,0.58
305,Golden,US,39.76,-105.22,1586970861,48.0,53.01,32.0,26,40,23.04
306,Nālūt,LY,30.33,10.85,1586970882,80.78,80.78,80.78,28,95,4.29
